title,description
Nubank bloqueo meu cartão de crédito e estornou todo o valor que tinha em saldo,"Estava em minhas rotinas matinais fui fazer uma compra usando meu cartão de credito sem nenhum problema, não foi entrei para ..."
Nubank Não estorna valor de pedido de ordens em compra de Fundos Imobiliários,"Ontem, pela manhã, dia 26/02/2025, enviei um pedido de compra de um Fundo Imobiliário pelo Nubank. O pedido não foi executado..."
Construir Limite,Eu tenho esse cartão construir limite e já estou no terceiro ciclo e me aumentaram somente míseros 10 reais. Eu isso bastante...
Atendimento via telefone não atende,"Entrei em contato com o Nubank para tentar ativar meu cartão de crédito na minha conta Google Wallet, pois pelo aplicativo es..."
[Editado pelo Reclame Aqui] do pix,"Eu estou mexendo com auxílio doença com advogada, então na dará de hoje eu recebi uma mensagem via WhatsApp que eu tinha um v..."
Boa noite não recebi meu cartão nubank e fala como se tiver feito,Boa noite fui notificado pelo e-mail que recebi meu cartão nubank porém não recebi.
Compra duplicada pela empresa MUVIFLEX,Efetuei compra de passagem de ônibus via muviflex no dia 24/2/25. A compra foi duplicada pela empresa muviflex que solicitou ...
Encerramento de Conta,"Verificando no Registrato do Banco Central, percebi que ainda existe uma conta em meu nome nesta instituição.62.1..."
Erro na transferencia de CDB,Novamente preciso entrar em contato por aqui porque os atendentes do chat não tem a capacidade de entender o que escrevemos.
NETFLIX DEBITO INDEVIDO,"JÁ INFORMEI O CANCELAMENTO DA ASSINATURA E VCS CONTINUAM DEBITANDO DO CC R$ 59,90, ATÉ QUANDO ?QUANTA..."
Cancelamento de Conta,"Fiz a conta digital, foi um sofrimento fazer reconhecimento facial, por fim finalizei, chegou o cartão em minha casa, ao entr..."
NUBANK SE NEGA A ENVIAR COMPROVANTES DE DEVOLUÇÃO,"Boa tarde! estou solicitando de forma continua e alguns dias, o envio do Comprovante Completo de Devolução de um pix efetuado..."
Fiz o acordo e quitei minha dívida,"Sou cliente do banco a mais de 8 anos,uso ele para tudo o que preciso,fiquei desempregada aí não consegui honrar as minhas dú..."
Pendência Registrato,"Realizei a liquidação dos débitos em abertos com o Nubank, porém a dívida ainda continua aparecendo no Registrato. Preciso de..."
Venda BTHF11,"Desde dezembro quando o fundo BTHF11 passou a ser negociado no app do Nubank, venho tentando vender as ações mas não consigo..."
Bloqueio indevido das contas pessoa física e jurídica,Boa tarde tudo bem sou o Tiago tenho duas contas física e outra PJ e o que ocorreu bloquearam a minha as minhas duas contas q...
Reembolso,Eu Fiz uma compra no cartão nubank e eu solicitei o reembolso da minha compra e até hoje não e até hoje não obtive resposta c...
Cancelamento de conta,"Minha conta pj foi cancelada porém a função crédito do cartão continuou ativa,Todas as minhas faturas estão em dia"
Nubank não faz reembolso,"Fiz uma compra através do Rappi, no Supermercado Carrefour, no valor de R$57,07, no dia 20/02/25. Quando fizeram a separação ..."
